sent1,sent2,score
"this did not go over very well with the seller, who has already had the violin authenticated.",i think they let me slide because i already had my honorable discharge.,0.0
(cause to) return after being refused,come back after being refused.,1.0
A woman is slicing some tuna.,A woman is cutting raw fish.,0.0
Dolce and Gabbana convicted of tax evasion,Dolce and Gabbana Fined in Italian Tax Case,0.0
A cartoon woman dives into a pool.,A cartoon woman is diving off a board.,0.0
"by the way, the truth of the super committee negotiations is that the democrats didn't off one single plan.",i'd say the precedent was set when the democrats gave clinton a pass for lying under oath.,0.0
"contraception is about family planning, not about wild sex.",the prisons are filling up and they're building more.,0.0
Bulb A and bulb C are in a closed path with the battery.,Bulb B and Bulb C were still contained in the same closed path with the battery.,1.0
"These lines seem to be anchored on non-arbitrary points, but their flatness (lack of curves/bumps) may be somewhat arbitrary.","Building off of Nick Stauner's answer, the lobes are named after the cranial bones that cover them.",0.0
north korean officials are suspected of building nuclear weapons. ,north korea is currently in the process of dismantling its nuclear weapons program.,0.0
"Sobig.F spreads when unsuspecting computer users open file attachments in emails that contain such familiar headings as ""Thank You!,"" ""Re: Details"" or ""Re: That Movie.""","The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like ""Thank You!"" and ""Re: Details"".",1.0
European stocks slide on tension over Syria,"Stock futures slide on Syria tension, J.C. Penney shares fall",0.0
bulb b did not create a gap in the path for bulb b or c,Bulbs A and C are still in closed paths,0.0
"It was too long for the comment, so had to post it as an answer.","@Alenanno's answer is great, but there is yet another factor: conspiracy.",0.0
A turtle is swimming in water.,A turtle is walking underwater.,1.0
Police fire teargas on Venezuelan vote protesters,Chavez heir Maduro wins Venezuela's presidency,0.0
NASA satellite images show that Arctic ice has been shrinking at the rate of nearly 10 percent a decade.,Researchers found that sea ice in the Arctic is disappearing at a rate of 9 percent each decade.,1.0
A man is traveling in a boat.,A woman is cutting up a carrot with a knife.,0.0
First significant gas found offshore Kenya,Raiders kill 38 in latest land clashes in Kenya,0.0
But America's interest in Iraqi oil was not driven either by economics or energy policy.,But the interests of America for Iraqi oil is dictated by the economy or the energy policy.,1.0
"The helicopter burst into flames upon impact, according to the Mohave County Sheriff's Office.","The helicopter was owned by Las Vegas-based Sundance Helicopters Inc., according to the sheriff's office.",0.0
the act or means of getting rid of something.,the physical position of something.,0.0
the two components are seperated.,Terminal 1 and the positive terminal are separated by the gap,1.0
"The UK Labour members of the PES Group welcome the adoption of their contribution to the ongoing work of the IGC on reinforced cooperation, without endorsing every single detail.",". The British Labour Members of the PSE Group welcomes the support given to the contribution to the work of the IGC on closer cooperation, without adhere entirely with all the details of this.",1.0
Spain asks for bank rescue,Spaniard on trial for Cuban dissident’s death,0.0
all the bulbs are on parralel paths,A and C are in different paths,0.0
The state of being pleased with life.,the state of being rejected.,0.0
Two zebras play in an open field.,Two zebras are playing in a field.,1.0
"Ah ha, ha, ha, ha, ha!","Ha, ha, ha, ha, ha, ha!",1.0
We often pontificate here about being the representatives of the citizens of Europe.,We enorgueillissons ourselves often here to represent the European citizens.,1.0
A man is playing a guitar.,A woman is riding a horse.,0.0
"Gartner's report said global WLAN equipment shipments reached 19.5 million last year, a 120 percent increase over 2001's 8.9 million units.","Total shipments reached 19.5 million units last year, compared with 8.9 million units in 2001.",1.0
Some years ago I read that one standard deviation in IQ (~15 IQ points) increased productivity by 1.6 times.,I may have found some weak evidence that they are negatively correlated.,0.0
North Korea: experts call for dialogue ‚Äď and say China must play a part,North Korea cuts last ties with South by barring joint industrial park,0.0
"that is exactly what happened: no, it isn't, unless you believe that the instant vaporization of hundreds of thousands of people can be written off because of their nationality.",but its a different matter all together to say that these people are not afforded the right to even live in the uk - the country of their nationality.,0.0
"Without doubt, it was better to have no agreement at all than a poor one and it is true that, in this instance, the American proposal was a third-rate proposal, and one which was completely unacceptable to Europe.","Certainly, it was not to have an agreement better than to have an agreement which is wrong and, in this case, the American proposal was a proposal to the reduction, totally unacceptable for Europe.",1.0
"The resolution on Nice, voted today, does not reflect this.","The resolution on the Nice Summit, which has just been passed, does not reflect the.",1.0
"In chimpz, we see stronger chimps beating up weaker chimps that have consensual sex.",The answer has its roots in the evolution of human morality and disgust.,0.0
a cognizer introduces a new_idea into society.,"make a discovery, make a new finding;",0.0
India starts voting in world's largest election,India voters kick off world‚Äôs biggest election,1.0
German event organizer Jochen Schweizer offers flying a MiG 29 in Nizhniy Novgorod for 14.5k EUR.,"adrenalin.com.au  has some offers for Australia, and you have the choice between a L-39 fighter jet and a A37B ex-military jet.",0.0
Reading list As @Jeff has mentioned Tom Griffiths has several useful resources.,"In the fairly recent book ""The Cambridge Handbook of Computational Psychology"", chapter three is devoted to bayesian modeling.",0.0
go figure You're asking me to prove a negative?,You're asking me to prove a negative?,1.0
The only construction-agnostic term would be long lens to compliment the other lens classes: wideangle and normal.,"Well, to use Wikipedia as well, it would appear that the options are telephoto and long focus lenses.",0.0
"Among three major candidates, Schwarzenegger is wining the battle for independents and crossover voters.",Schwarzenegger picks up more independents and crossover voters than Bustamante.,1.0
a boundary area or edge of something,a boundary marking the extremities of something.,1.0
Prosecutor Jim Hardin called the decision a victory for Kathleen Peterson's family.,Members of Kathleen Peterson's family were not present.,0.0
The dog returns the play toy to its master.,Three dogs race in the snow together.,0.0
"I've only been to a couple of different places, but Hobbiton was pretty cool and I'd definitely recommend it.","On Trip Advisor I think the highest rated in is Twizel, largest location in NZ and is Gondor.",0.0
"You are right, if you gain 3000+ meters within 6 hours, you are susceptible to AMS.","As your body gets used to the altitude, the symptoms go away.",0.0
"But Odette is the first to form over the Caribbean Sea in December, the Center said.",It is the first named storm to develop in the Caribbean in December.,1.0
Obama calls for calm after Zimmerman acquittal in Martin case,Obama calls for calm after Zimmerman acquittal; protests held,0.0
McGill also detailed the hole that had been cut in the Caprice's trunk.,McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.,0.0
A black and white dog is running through a snowy field.,"A black, brown and white dog running through a field.",0.0
The unofficial reason is that JKR found it difficult to do something new in the Quidditch matches every book .,"There was an official explanation, at the beginning of the year, that there was no Quidditch house cup.",0.0
"On the one hand, there’s nothing in canon to suggest that the Time Turners could go forwards in time.",Time Turners were explicitly mentioned for use in going back in time.,0.0
"After that, college President Paul Pribbenow told him to wrap up his speech.","After Hedges' microphone was unplugged for a second time, Pribbenow told him to wrap up his speech.",1.0
"Yes, if your lettuces are putting up a long tall central stalk and/or flowering then they have bolted.",Lettuce often runs to seed prematurely when it is stressed.,0.0
"EU, Britain argue over Juncker appointment","EU leaders give thumbs up to Juncker, Britain isolated",0.0
Question No 6 by (H-0886/00):,Question No 6 by (H-0886 / 00):,1.0
A lion cub tries to climb a fence.,A lion tries to climb over a wall.,0.0
EU condemns violence in Iraq,White House condemns violence in Egypt,0.0
stamp or emboss with a block,stamp or emboss a title or design on a book with a block.,1.0
A person is boiling soup.,A woman is placing eggs into a pan.,0.0
A black dog is walking on the grass with a stick in it's mouth.,The black dog is running on the grass with a toy in it's mouth.,1.0
A man is firing a shot gun.,A man shoots a shotgun.,1.0
both of the terminals are connected to the negative battery terminal,Terminals 1 and 2 are connected,0.0
The bird is sitting on the branch.,The sheep is standing under the trees.,0.0
"The injured passenger at John Peter Smith Hospital died later Friday morning, Jones said.","The injured passenger at John Peter Smith died later in the morning; his name has not been released, Jones said.",1.0
behave in a condescending manner,behave in a patronizing and condescending manner.,1.0
A black dog running through the snow.,A black dog runs through the water.,0.0
you seriously think the left doesn't have equally distasteful bumper stickers?,they seriously think they can threaten us?,0.0
"Gemstar's shares gathered up 2.6 percent, adding 14 cents to $5.49 at the close.","Gemstar shares moved higher on the news, closing up 2.6 percent at $5.49 on Nasdaq.",1.0
A man is playing a harp.,A woman is playing a guitar.,0.0
Somalia's Shebab claims responsibility for Nairobi mall attack,Syrian rebels claim responsibility for killings in Lebanon,0.0
"The Metropolitan Transportation Authority was given two weeks to restore the $1.50 fare and the old commuter railroad rates, York declared.","The Metropolitan Transportation Authority, which plans to appeal, was given until May 28 to restore the old subway and bus fare and the old commuter railroad rates.",0.0
"Reiterating the calls made by the European Parliament in its resolution of 16 March 2000, what initiatives does the Presidency of the European Council propose to take with a view to playing a more active role so as to guarantee the full and complete application of the UN peace plan?","As the European Parliament called for in its resolution of 16 March 2000, that these initiatives is the Presidency of the European Council intend to take to play a more active role in order to ensure the full implementation of the UN Peace Plan?",1.0
A girl is playing guitar.,A girl is playing a piano.,0.0
Fire at South Korean bus terminal kills 5,S Korea bus station fire kills seven,1.0
Switch X can still form a closed path,"there is still a closed path containing Switch Z, Switch X, Bulbs A and C and the battery",0.0
"I've just been in Rovaniemi, Finland a couple of weeks ago.","My friends, boyfriend and I are talking about going to Yellowknife, Canada.",0.0
"I've always been told and believed that \ˈī-thər\ is the correct pronunciation, albeit both are indeed common nowadays.",The Wiktionary mentions 3 usages: 1/ (idiomatic) To give evidence regarding something; to attest for.,0.0
For most of mine I do what Kyle does: stand the carrier on end and put the cat in rump-first.,"All but one current answers talk about ""forcefully"" putting the animal into the carrier.",0.0
but does this include genocide or democide?,does this sound like the sensible option.,0.0
Three dogs standing in snow next to a blue fence.,Three dogs play in the shallows next to a rocky shore.,0.0
A band is performing on a stage.,A band is playing and singing on a stage.,1.0
"But I would rather be talking about high standards than low standards.""","""I would rather be talking about positive numbers rather than negative.",0.0
At least 20 dead in Somalia attacks,At least 8 injured in large Boston blaze,0.0
A woman standing in front of trees and smiling.,A man is walking by trees in front of the city skyline.,0.0
"move faster, or cause to move faster",cause to move faster.,1.0
The most appropriate answer is to consult a physician before starting any workout program.,I would say high impact workouts like running might make them worse.,0.0
you have to watch videos in fast-forward.,"you name your cats ""cream"" and ""sugar.""",0.0
"administrator, one who controls resources",someone who controls resources and expenditures.,1.0
Are we anthropormising the world when we incorporate cause & effect into our understanding of how the world acts?,The question you're asking is the main reason Kant wrote the Critique of Pure Reason.,0.0
"in actual practise, the clinics tend to keep the embryos on ice because they fear law suits.","in their view, there is a difference between an embryo and a brain dead person.",0.0
US drone strike kills 5 militants in Pakistan,U.S. drone strikes kill 16 suspected militants in Yemen,0.0
I finally found one of the best astrophotography articles I've ever found on the net.,I am pretty new to the astrophotography scene but I have learned fairly quickly.,0.0
New York lawmakers agreed on changes to gun laws Ills,New York Legislators Hope for Speedy Vote on New Gun Laws,0.0
China stocks open higher Monday,China stocks close lower on Thursday,0.0
Mohamed Morsi sworn in as Eygptian president,Mursi sworn in as Egyptian president,1.0
"The answer is No, since Russia is one of the five permanent members of the Security Council.",There's no such thing as misuse of the veto right in the Security Council.,0.0
"They made a similar discovery in Houston on another aircraft, Dallas-based Southwest said in a statement.",The airline said a similar discovery was made on the plane in Houston.,1.0
"Do you think that the Austrian model, i.e. bilateral majority resolutions, will be used in future as a way of passing resolutions which bypass the European institutions and of forming a new institution or a new group in order to circumvent unanimity in the Council?","Do you think that the ‘ Austrian 'model – namely decision-making majority bilateral - will in future be an instrument for making it possible to take decisions by ignoring the European institutions and to establish a new institution, or a new group, to be able to get round the unanimity rule in the Council?",1.0
"noddy, you always say the very thing that evokes strong reactions in me.",in no way was he better on the question of the war than johnson.,0.0
Twelve killed as gunmen raid village,Five Killed in Blasts in India,0.0
Bulb A and bulb b are still contained in closed paths with the battery,If C burns out then A and B are still in a closed path with the battery,0.0
the reader attends to a text to process its information. sometimes a particular kind of phenomenon is sought in the text.,interpret something that is written or printed;,0.0
"this frame describes intentionally formed human social groups (here termed organizations) with some definite structure and members. they may be relatively informal, consisting only of a group of individuals who are aware of who is and who is not a fellow member, or they may be complex and long-lasting, such as the roman catholic church or the conservative party.",a committee having supervisory powers;,0.0
Iranian nuclear talks to be extended to November,New Iran nuclear talks probably in November: report,0.0
Five men in blue and black uniforms pose for a picture.,A group of five men in uniform are posing for the camera.,0.0
17:02 23 killed in Iraq car bombings,11 children killed in Syria bombings,0.0
A dog is jumping in the air to catch an orange Frisbee.,a white dog jumping in the air to catch a red Frisbee.,0.0
Five dead in Pakistan suicide blast,Over 120 dead in Pakistan factory blaze,0.0
David Weber's The War God's Own has some lengthy travel scenes in it which he does quite well.,One thing that should be used as a seasoning in Odyssey tales is the idea of the false destination.,0.0
A dog jumps over a chain.,A dog jumps down a flight of stairs.,0.0
In Lebanon (and in some other places) 'Christian' is as much an ethnic and cultural as a religious designation.,Christians and muslims in Lebanon both are separated internally in their political point of view toward Syria.,0.0
Mauritanian president shot by army unit,Mauritanian president shot at,1.0
We often pontificate here about being the representatives of the citizens of Europe.,We we take pride often here of representing the european citizens.,1.0
Give an incentive or reason for action.,give an interpretation or rendition of.,0.0
"As I already explained during second reading, there is a crisis underlying this directive amendment.","As I have already explained at second reading, a crisis is at the root of this amendment of directive.",1.0
teachers and principles would not shield me from other kids and my family doesn't even know i exist.,i most certainly did not treat the disaster as if it doesn't exist.,0.0
The findings appear in Wednesday's Journal of the American Medical Association (news - web sites).,The results are to be published in Wednesday's issue of The Journal of the American Medical Association.,1.0
NYTimes: Victory for Anthony and for Knicks,Win for Anthony and for Knicks,1.0
Adobe Photoshop Elements is actually a pretty good package these days.,"There are quite a few alternatives, depending somewhat on what you're after.",0.0
Egypt's military cracks down on Muslim Brotherhood,Egypt army moves against Brotherhood,0.0
Malaysia sets May 5 as date for closely contested election,Malaysia sets date for landmark elections,1.0
Two homeless men stand outside with a cardboard sign.,Two homeless young men holding a cardboard sign.,1.0
"As a matter of urgency, therefore, the staff complement of the Interdepartmental Group attached to the Commission Secretariat should be strengthened at the earliest possible opportunity in order to ensure that all proposals for acts which are general in scope are accompanied, when considered by the College of Commissioners and on the basis of Article 299(2), by a simplified sheet outlining their potential impact.","Therefore, it is urgent that the personnel of the inter-service group are very quickly reinforced at the heart of the Secretary-General of the Commission, so that all the proposals of the Act of general interest can be accompanied, during their examination by the Commission on the basis of Article 299 (2) of a detailed fiche d'impact.",1.0
sacrifice or toll required to achieve something,an appraisal of the value of something.,0.0
there was no closed path with the battery,Bulb C was no longer in a closed path with the battery,0.0
"The Institute for Supply Management's index of nonmanufacturing activity rose unexpectedly in April, reports said.",The Institute for Supply Management said its index of non-manufacturing activity rose to 50.7 from 47.9 in March.,1.0
the medical procedure of manually turning the uterus,manual turning of a fetus in the uterus (usually to aid delivery).,1.0
bulb a was still contained in a closed path with the battery.,Bulb A was still contained in the same closed path with the battery.,1.0
Let me remind you that our allies include fervent supporters of this tax.,"I would like to remind you that among our allies, there are strong of this tax.",1.0
An object impairs the respiration of someone or something.,an advantage to the benefit of someone or something.,0.0
An Apple computer sitting on the floor.,A Macintosh computer sitting on the floor.,1.0
"an agent acts so as to be the strongest force, or most important causal factor in some situation, to the exclusion of other competing actors.","be larger in number, quantity, power, status or importance;",0.0
I'm going to be very short: you should set a singular purpose (goal) for yourself.,"I'm asking for some resources (books, websites, etc) or personal advice that would help me overcome this situation.",0.0
Electrical states between connected terminals will differ than those that are separated by a gap.,Measuring voltage indicates the place where the electrical state changes due to a gap.,0.0
Large silver locomotive engine in a shed.,A close-up of a silver train engine with a red stripe.,0.0
Amendment No 7 proposes certain changes in the references to paragraphs.,Amendment 7 proposes certain modifications in the references to paragraphs.,1.0
China yuan weakens to 6.1651 against USD Tuesday,China yuan strengthens to 6.1767 against USD,0.0
thank you for pointing me foster.,thank you for your concern pelastration.,0.0
"yet, you call what you learn ""fiction"" and feel it's ""stupid"".",you're hearing only what you want to hear and imagining the rest.,0.0
The feeling of annoyance at being hindered or thwarted.,a feeling of annoyance at being hindered or criticized.,1.0
"Syria rejects US, UK chemical arms claims",US suspects Syria used chemical weapons,0.0
the  negative batter terminal is seperated by a gap from terminal 4,terminal 4 is separated by a gap from the negative battery terminal,1.0
"In the year-ago period, Pearson posted a 26 million pre-tax profit.",A year ago the firm posted a profit of 26 million pounds.,1.0
"One piece of advice I've seen is to use bait to lure the snails out, and then physically remove them.",You might consider adding a few Assassin Snails to the tank.,0.0
(cause to) meet or intersect,cause to make a snapping sound.,0.0
it depends on whether its an open or closed path,If a bulb and a switch are in the same path the switch affects the bulb,0.0
Another said its members would continue to call the more than 50 million phone numbers on the Federal Trade Commission's list.,"Meantime, the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.",0.0
there is no closed path,"If bulb A burns out, neither B nor C is in a closed path",0.0
go on a campaign or off to war,go on a campaign; go off to war.,1.0
EU offers to help destroy Syria weapons,Germany offers help in destroying Syria weapons,0.0
17 killed in US drone attack on Yemen wedding party,U.S. drone mistakenly kills 14 in Yemen wedding convoy,1.0
we will tell you what to think.,we returned to new york by train.,0.0
the activity of examining or assessing something,the act of drawing or hauling something.,0.0
"""The grass family is one of the most widely distributed and abundant groups of plants on Earth.","As noted on the Wiki page, grass seed was imported to the new world to improve pasturage for livestock.",0.0
confine in or as if in a prison,"lock up or confine, in or as in a jail.",1.0
A man is eating bread.,A man is playing flute.,0.0
the battery is in a closed path but connects with nothing else,The battery is contained in a closed path which does not contain any other components,1.0
#Djokovic sets sights on #Paris party,Djokovic: 3 Aussie wins in a row,0.0
Four other men who were also charged in June have already pleaded guilty.,Four of the defendants have pleaded guilty to weapons charges and other counts.,1.0
"Iran, world powers begin new round of nuclear talks","Iran, world powers pledge new nuclear talks",1.0
They know that the video doesn't show a gas chamber.,The bottom line is that the video clip doesn't show a gas chamber.,1.0
"however you phrase it, we have not seen tax receipts this low as a percentage of gdp since the end of wwii.",after all the whites have occupied this land sicne the dawn of man.,0.0
killed by violent partners who had pursued and threatened them for years - who had made numerous threats to kill them.,"it was what he did after he inherited them that make him a self made man, not the fact that he inherited them.",0.0
Venezuelan opposition leader sought,"Venezuela Government, Opposition Head for Showdown",0.0
This tendency extends deeper than headscarves.,This tendency goes well beyond simple.,0.0
"The Dow Jones industrial average .DJI was off 58.69 points, or 0.64 percent, at 9,137.86.","The blue-chip Dow Jones industrial average .DJI fell 86.56 points, or 0.94 percent, to 9,109.99, after giving up more than 1 percent earlier.",0.0
The academic year does start around September in the USA and I think most European countries.,"I would not accelerate things, to avoid getting worse grades that you want.",0.0
"Photography was in use by many artists from the Impressionists onwards, many used photographs as a basis for their paintings.","I did some more research using the answers provided as a guide, particularly about the Daguerreotype.",0.0
"Identify, establish location or identity",recognize as being; establish the identity of someone or something.,1.0
A woman holds a kangaroo.,A man in a hat sings a song.,0.0
become due,become due for repayment.,0.0
China yuan weakens to 6.1535 against USD,China yuan strengthens to new high against USD,0.0
to grow rapidly,increase rapidly and in an uncontrolled manner.,1.0
Kids play soccer on a field.,Three boys playing soccer in a field,1.0
i agree on the miscarriage of justice.,it said wreckage of the craft was strewn at the scene.,0.0
Free speech is a basic democratic right except in France #Twitter,Twitter Ordered to Help Reveal Sources of Anti-Semitic Posts,0.0
A woman is dancing.,A man breaks a stick.,0.0
Mr. Sweeney outlined plans for the campaign in a speech last night in Philadelphia at the annual meeting of the American Political Science Association.,Sweeney was to outline plans for the campaign in a speech on Saturday night at the annual meeting of the American Political Science Association.,1.0
leave isolated with little hope of rescue,leave stranded or isolated with little hope of rescue.,1.0
the part of the purpose of the united states plan is to increase pressure on north korea. ,the united states and the allies of the united states believe iran is pursuing nuclear arms.,0.0
"Let us, as a Europe of 15 Member States, organise ourselves in order to be able to welcome those countries who are knocking at the door into the fold under respectable conditions.",Let us hold to fifteen in order to be able to welcome in the right conditions which countries knocking at our door.,1.0
Former Zambian president arrested,Zambia's ex-President Rupiah Banda arrested,1.0
A black and white bird on a body of water with grass in the background.,A bus is on a road with a ferris wheel in the background.,0.0
"they might be hiding him or something, in which case what is the problem?",i said i complain the 3 or so times a month i ring with the same problem.,0.0
"We have started to exchange ideas on this question, from which it has emerged that all the Member States want to maintain this ceiling after enlargement.","We have started to have exchanges on this issue, it emerges that all the Member States wish to the maintenance of this ceiling after enlargement.",1.0
7 comments weigh in corrections?,do you know what a forecast is?,0.0
Adam Smith in the Wealth of Nations has a short section on this question.,"Just to expand on the disease angle, at its height, Zambia's population was 3% European.",0.0
Kerry's plan for restarting talks calls for release of 103 Palestinian inmates,"Kerry plan to include prisoner release, settlement freeze",1.0
Belgian King Albert II to step down in favor of son,Belgium King Albert II 'to abdicate',1.0
A man is playing a guitar.,A man is cleaning a glass door.,0.0
There's a reason that Sports Psychology has grown into a pretty large niche of psychology overall.,"“PRACTICING THE CORRECT ONES MAKES PERFECT.” My 100 shots in a row last July 27, 2014.",0.0
Two brown dogs barking at each other.,two brown and black dogs growling at each other.,0.0
the b-52s were 6 miles away.,there seems no hope in these areas.,0.0
Time perception is active field of study in psychology and neuroscience.,"Wikipedia on time perception The Wikipedia article on ""time perception"".",0.0
A child in a red shirt is using a black wake board to splash over a beach wave.,A man in a rowboat is rowing across blue water.,0.0
"the quality of dedication, fixity of purpose",the trait of sincere and steadfast fixity of purpose.,1.0
"a pointed instrument for writing, stylus",a pointed tool for writing or drawing or engraving.,1.0
Twin blasts rock Boston Marathon,Two bombs strike Boston marathon,0.0
the activity of pretending to be someone or something else,the act of damaging something or someone.,0.0
it was still on a closed path,Bulb A was still contained in the same closed path with the battery.,1.0
Three women are dancing.,The man is dancing.,0.0
A brown dog is running through the field.,a brown dog with his tongue wagging as he runs through a field,1.0
The woman is thinly slicing a cucumber.,The woman is slicing a tomato.,0.0
"after the first meeting between leaders of the european union and leaders from albania, bosnia and herzegowina, croatia, macedonia and serbia and montenegro, leaders from the western balkan countries pledge to diminish organized crime and corruption in the balkans to meet requirements of european union membership. ","leaders from albania, bosnia and herzegowina, croatia, macedonia and serbia and montenegro met for the first time with european union leaders to pursue joining the european union.",1.0
"The Dow Jones industrial average <.DJI> was off 58.69 points, or 0.64 percent, at 9,137.86.","The Dow Jones industrial average .DJI fell 79.43 points, or 0.86 percent, to 9,117.12 on Friday.",0.0
I'd ensure you got professional advice before committing your children to a vegan diet.,"If you omit eggs and dairy, it becomes very difficult to get adequate nutrients.",0.0
"an author creates a text, either written, such as a letter, or spoken, such as a speech, that contains meaningful linguistic tokens, and may have a particular addressee in mind. the text may include information about its topic, although the latter is not an fe in this frame.",recite or repeat a fixed text;,0.0
Twin suicide bombings hit Iraq camp,11 killed in twin Iraq suicide bombings,0.0
Train going down the tracks.,A black steam train traveling on the railroad tracks.,1.0
Four dogs stand in the snow.,Four dogs playing in the snow.,1.0
and the idea was to help people connect with volunteer opportunities.,and they would try and put people together with volunteer opportunities.,1.0
People who once thought their blood pressure was fine actually may be well on their way to hypertension under new U.S. guidelines published on Wednesday.,"People who once thought their blood pressure was fine actually need to start exercising and eating better, according to new U.S. guidelines published on Wednesday.",0.0
which i said more power to them.,they didn't appear so noble to us then.,0.0
"The behavior in wolves is known as ""scrape behavior""; it is also present in their domesticated relatives.","From what i know, It's an extra way of being territorial.",0.0
2. speak to a solicitor.,i used to love climbing trees...,0.0
A cat and a ferret are playing.,A ferret and kitten play together.,1.0
"It is unlikely that the planned protection of the universal provision of services by means of a compensatory fund, as a result of which private profits are ploughed back into public services, will last.",The safeguard of the universal service using compensation funds which would make it possible to engage of the private profits to the profit of the public service will probably make failure.,1.0
A man is lifting weights.,A man is chopping egg plant.,0.0
Turn your heat down and leave it on the grill longer.,Here is the method I use for turning out a perfect steak every time.,0.0
Last year he was wanted for murder.,Last year it was sought for murder.,1.0
A man is dancing.,A man is singing.,0.0
"preserve, keep in safety, use frugally",preserve with sugar.,0.0
Third victim of Santa Barbara shooting identified,5th victim of Santa Monica shooting dies,0.0
A woman is playing the flute.,A woman is slicing some tuna.,0.0
A panda bear is chewing on a stick.,A baby panda plays with a stick.,0.0
A man with glasses is talking.,A man in a library is talking.,1.0
"You have two items to consider: what makes a person likable, and why you would sympathize with someone.",There's a number of movies that feature criminals that are either the protagonist or a likeable character in some way.,0.0
Two different breeds of brown and white dogs play on the beach.,Two dogs playing in the sand at the beach.,1.0
What we are witnessing today is a shift from a Muslim identity to an Islamist identity.,We attend today the change of a Moslem identity for an islamist identity.,1.0
An animal run in circles.,A squirrel runs in circles.,1.0
